City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,port-vila,-17.7338,168.3219,26.78,83,100,6.69,VU,1738539716
123,khilok,51.3674,110.4676,-31.09,98,50,1.3,RU,1738539717
124,kudahuvadhoo,2.6708,72.8944,27.15,75,100,3.68,MV,1738539718
125,cadale,2.7603,46.3222,23.56,82,69,9.68,SO,1738539719
126,gadzhiyevo,69.2551,33.3362,-12.3,98,87,2.68,RU,1738539721
127,alpine,32.835,-116.7664,24.82,42,0,3.6,US,1738539722
128,hamilton,39.1834,-84.5333,10.56,77,80,1.34,US,1738539723
129,n'zeto,-7.2312,12.8666,26.05,82,94,1.95,AO,1738539724
130,bogale,16.2833,95.4,19.68,73,49,2.3,MM,1738539725
131,fort st. john,56.2499,-120.8529,-25.06,70,40,2.06,CA,1738539726
132,gillette,44.2911,-105.5022,-0.03,88,75,3.6,US,1738539727
133,mangai,-4.05,19.5333,21.42,92,88,0.5,CD,1738539728
134,vadso,70.0744,29.7487,-4.91,74,15,6.17,NO,1738539729
135,bubaque,11.2833,-15.8333,25.29,61,63,4.03,GW,1738539731
136,talnakh,69.4865,88.3972,-26.43,90,88,0.68,RU,1738539732
137,siocon,7.7061,122.1353,26.09,82,68,1.63,PH,1738539733
138,prachatice,49.0129,13.9975,-4.92,88,35,0.48,CZ,1738539734
139,al ain city,24.1917,55.7606,11.79,58,0,1.03,AE,1738539735
140,badger,64.8,-147.5333,-9.8,83,100,1.54,US,1738539736
141,nguigmi,14.2495,13.1092,20.58,19,25,4.84,NE,1738539737
142,benjamin aceval,-24.9667,-57.5667,30.11,26,0,1.83,PY,1738539739
143,hithadhoo,-0.6,73.0833,27.49,76,49,2.94,MV,1738539740
144,kapit,2.0167,112.9333,22.55,99,100,0.44,MY,1738539741
145,afaahiti,-17.75,-149.2833,26.55,76,45,4.41,PF,1738539742
146,longboat key,27.4125,-82.659,22.31,67,75,3.6,US,1738539743
147,alliance,40.9153,-81.1059,3.14,95,100,3.07,US,1738539744
148,tazovsky,67.4667,78.7,-30.36,94,6,3.5,RU,1738539745
149,lihue,21.9789,-159.3672,25.41,61,0,7.72,US,1738539746
150,callao,-12.0667,-77.15,27.07,88,75,6.69,PE,1738539748
151,reggane,26.7158,0.1714,13.9,29,0,5.47,DZ,1738539749
152,new norfolk,-42.7826,147.0587,25.51,29,15,1.9,AU,1738539750
153,college,64.8569,-147.8028,-8.8,76,100,1.54,US,1738539751
154,dudinka,69.4058,86.1778,-32.77,99,77,0.95,RU,1738539752
155,nuuk,64.1835,-51.7216,-9.66,85,100,3.6,GL,1738539668
156,touros,-5.1989,-35.4608,27.06,78,45,5.88,BR,1738539754
157,akobo,7.4344,3.9497,25.45,77,84,1.33,NG,1738539756
158,kiruna,67.8557,20.2251,-15.49,85,100,1.54,SE,1738539757
159,fort mcmurray,56.7268,-111.381,-23.23,70,100,4.63,CA,1738539758
160,sitia,35.2,26.0986,13.83,79,100,2.25,GR,1738539759
161,antofagasta,-23.65,-70.4,21.6,79,3,1.31,CL,1738539632
162,lai chau,22.3997,103.4517,9.81,92,17,1.55,VN,1738539761
163,bata,1.8639,9.7658,26.25,84,59,2.13,GQ,1738539762
164,villa gesell,-37.2639,-56.973,24.79,55,11,10.84,AR,1738539763
165,rongelap,11.1635,166.8941,26.42,80,61,11.22,MH,1738539764
166,tumpat,6.1978,102.171,21.99,94,20,1.54,MY,1738539768
167,paita,-5.0892,-81.1144,22.22,81,39,5.23,PE,1738539770
168,el granada,37.5027,-122.4694,16.18,94,100,6.17,US,1738539771
169,gijang,35.2442,129.2139,0.85,60,93,6.56,KR,1738539772
170,ola,59.5833,151.2833,-23.91,78,12,2.64,RU,1738539773
171,onega,63.9061,38.1404,-16.45,87,76,5.04,RU,1738539774
172,akureyri,65.6835,-18.0878,2.96,65,75,3.6,IS,1738539775
173,popondetta,-8.7537,148.2534,29.87,69,96,1.65,PG,1738539776
174,st. john's,47.5649,-52.7093,-8.35,70,95,4.02,CA,1738539586
